t,ip,ne,te,ti,we,wi,nbi,ech,pOhm,pLoss,pRad,tauE,pressure,beta,energyError,particleError
2.74,1.2,5.94371513445941,0.8556883819984902,0.8293668984789347,0.2824713149308344,0.27378232929410734,4,1,0.23978604602761652,4.282447269151923,0.04036078202360046,0.12989153380401103,16046.581769713614,1.008236468059204,-6.98153410142375e-16,-3.0538075115632615e-15
2.7600000000000002,1.2,5.955863605667622,0.8544456079254746,0.8280945475627798,0.2826375726617586,0.27392104387526484,4,1,0.24030938223083634,4.283045759109027,0.0404964989852456,0.12994458799637024,16055.379488513523,1.0087892450342069,-6.906633069317869e-16,-3.7607298877499745e-15
2.7800000000000002,1.2,5.967861072334031,0.8532226425240426,0.8268425007434753,0.28280156340376217,0.2740578370109794,4,1,0.24082623797052935,4.283636069064469,0.04063070671247683,0.12999689783085558,16064.05638104075,1.0093344302705973,-5.694427853707497e-16,-4.66375473956873e-15
2.8000000000000003,1.2,5.979709411433222,0.8520191087645533,0.8256103711066228,0.282963321128753,0.27419273835938107,4,1,0.2413366927877357,4.284218324543578,0.040763419476397285,0.13004847495662844,16072.614282869064,1.0098721391008767,-6.761525715170885e-16,-5.655442131583573e-15
2.82,1.2,5.991410476609128,0.850834638495351,0.82439778084625,0.28312287919008805,0.2743257770086483,4,1,0.2418408252980571,4.2847926483889704,0.04089465148430416,0.13009933080620137,16081.054995286817,1.0104024847033304,-4.460815019408666e-16,-6.631696230580254e-15
2.84,1.2,6.002966098465033,0.8496688721929866,0.8232043610102292,0.28328027034011655,0.2744569814947559,4,1,0.24233871319672523,4.285359160890347,0.04102441687774371,0.1301494766004617,16089.380286314961,1.0109255781659907,-2.207452796383426e-16,-7.694112856469626e-15
2.86,1.2,6.014378084849966,0.8485214587194357,0.8220297512525441,0.2834355267466231,0.2745863798180023,4,1,0.24283043326447074,4.285917979900211,0.04115272973062866,0.13019892335354907,16097.591891658209,1.0114415285464011,-4.3699264371178437e-16,-8.539323564361682e-15
2.88,1.2,6.025648221141537,0.8473920550863068,0.8208735995924565,0.28358868000830223,0.27471399945846636,4,1,0.2433160613740539,4.2864692209375646,0.04127960404742166,0.13024768187759272,16105.69151559728,1.0119504429276776,-3.2443872173709615e-16,-9.471379331712745e-15
2.9,1.2,6.036778270525255,0.8462803262259869,0.8197355621805652,0.2837397611693697,0.2748398673905157,4,1,0.24379567249734493,4.287012997281248,0.04140505376138705,0.13029576278731306,16113.680831828977,1.0124524264712917,-3.211986245821653e-16,-1.0488314044344136e-14
2.92,1.2,6.0477699742703654,0.8451859447696576,0.8186153030717163,0.28388880073341016,0.2749640100964794,4,1,0.24426934071284748,4.287549420054445,0.04152909273291302,0.13034317650449218,16121.561484260057,1.0129475824669512,-2.120148389867086e-16,-1.1391809975426019e-14
2.94,1.2,6.058625052002278,0.8441085908320536,0.8175124940046804,0.2840358286765354,0.2750864535795731,4,1,0.24473713921359155,4.28807859830151,0.04165173474790498,0.1303899332623181,16129.335087759675,1.0134360123798776,0,-1.218439711834667e-14
2.96,1.2,6.069345201971595,0.8430479518028539,0.8164268141884948,0.2841808744599284,0.2752072233761574,4,1,0.2451991403153162,4.288600639058215,0.041772993516250856,0.1304360431096071,16137.003228874892,1.0139178158957627,4.158044797378717e-16,-1.2965286657946247e-14
2.98,1.2,6.079932101319789,0.8420037221445456,0.8153579500953412,0.2843239670418285,0.2753263445673978,4,1,0.2456554154648882,4.289115647416274,0.041892882670357866,0.13048151591490773,16144.567466512752,1.014393090963625,6.177146453128559e-16,-1.3830782762933815e-14
3,1.2,6.09038740634161,0.8409756031966134,0.8143055952598183,0.2844651348890114,0.2754438417903842,4,1,0.24610603524890318,4.289623726582916,0.04201141576376128,0.13052636137049137,16152.029332592254,1.0148619338367737,6.118360016105263e-16,-1.4683691000055698e-14
3.02,1.2,6.100712752744179,0.8399633029858834,0.8132694500844574,0.28460440598780745,0.2755597392487607,4,1,0.24655106940242802,4.290124977936125,0.04212860626980322,0.13057058899623233,16159.390332668814,1.0153244391120455,8.08090140409939e-16,-1.5524284005629698e-14
3.04,1.2,6.110909755902917,0.8389665360428544,0.812249221651315,0.2847418078546981,0.2756740607229094,4,1,0.2469905868178469,4.290619501076103,0.042244467580381966,0.13061420814338187,16166.651946533766,1.0157806997674723,6.004063911204546e-16,-1.6352826599158702e-14
3.06,1.2,6.120980011114255,0.8379850232238405,0.8112446235394807,0.2848773675465227,0.2757868295797273,4,1,0.24742465555378168,4.291107393873425,0.042359013004769595,0.13065722799823917,16173.815628790806,1.0162308071984996,7.931325416898764e-16,-1.726288897486158e-14
3.08,1.2,6.13092509384521,0.8370184915387497,0.8102553756483217,0.28501111167032644,0.2758980687820266,4,1,0.2478533428440598,4.291588752514257,0.04247225576849697,0.13069965758572288,16180.88280941127,1.0166748512528765,5.893938053540886e-16,-1.7974782401144822e-14
3.1,1.2,6.14074655997987,0.8360666739843251,0.8092812040263021,0.2851430663928741,0.2760078008975913,4,1,0.24827671510670854,4.292063671543011,0.04258420901230496,0.13074150577284652,16187.854894269854,1.0171129202643152,3.893578970248981e-16,-1.8768688609524547e-14
3.12,1.2,6.150445946062803,0.8351293093826687,0.8083218407051928,0.2852732574498535,0.2761160481079115,4,1,0.24869483795295746,4.292532243902681,0.04269488579115991,0.13078278127210097,16194.73326566207,1.017545101085004,5.787758819473595e-16,-1.964289319927882e-14
3.14,1.2,6.16002476953946,0.8342061422248832,0.8073770235395128,0.2854017101547873,0.2762228322166214,4,1,0.24910777619623262,4.292994560973154,0.04280429907333216,0.13082349264474663,16201.519282804737,1.0179714791170549,5.736083633529143e-16,-2.0323538968913184e-14
3.16,1.2,6.169484528993547,0.8332969225196581,0.8064464960510266,0.28552844940767264,0.2763281746576573,4,1,0.24951559386112884,4.2934507126076795,0.042912461739535425,0.1308636483040187,16208.214282320556,1.0183921383429486,7.580424374064124e-16,-2.0994829602134234e-14
3.18,1.2,6.1788267043815095,0.8324014056466318,0.8055300072781253,0.28565349970336223,0.2764320965031547,4,1,0.24991835419235234,4.293900787167663,0.04301938658212629,0.1309032565182483,16214.819578707717,1.0188071613550422,1.1270877999869478e-15,-2.1835939767893753e-14
3.2,1.2,6.18805275726404,0.8315193522143745,0.8046273116299447,0.28577688513970373,0.2765346184711013,4,1,0.2503161196636198,4.294344871556,0.0431250863043609,0.13094232541390152,16221.336464795435,1.0192166293841913,7.448563800771902e-16,-2.257676114868052e-14
3.22,1.2,6.197164131034748,0.8306505279228277,0.8037381687450436,0.28589862942544797,0.27663576093275655,4,1,0.2507089519865097,4.29478305124903,0.04322957351970833,0.13098086297853984,16227.76621218615,1.0196206223275337,1.1076495351675839e-15,-2.3307605993081014e-14
3.24,1.2,6.206162251145976,0.8297947034300488,0.8028623433544997,0.28601875588793785,0.2767355439198539,4,1,0.25109691211925833,4.295215410327245,0.043332860751218005,0.13101887706370388,16234.110071685087,1.0200192187754789,9.15148678383092e-16,-2.4028674482089947e-14
3.2600000000000002,1.2,6.215048525331809,0.8289516542231137,0.8019996051492625,0.28613728748059014,0.2768339871315932,4,1,0.25148006027549424,4.2956420315048724,0.04343496043094002,0.13105637538772294,16240.3692737178,1.020412496037945,9.073892247025122e-16,-2.4653048232090932e-14
3.2800000000000002,1.2,6.223824343828299,0.828121160493031,0.8011497286516278,0.2862542467901769,0.27693110994143744,4,1,0.25185845593290734,4.296062996158398,0.043535884899396485,0.13109336553845297,16246.545028736306,1.0208005301698753,1.0797115027049672e-15,-2.5269180117453303e-14
